Gridpacks with displaced vertex                                                                                                                                       width           ctau (mm)
HeavyNeutrino_lljj_M-2_V-0.0217715410571_mu_massiveAndCKM_LO                                                                                                   4.812815e-15            41.000323                     
HeavyNeutrino_lljj_M-2_V-0.0307896086367_e_Dirac_cc_massiveAndCKM_LO                                                                                           4.892984e-15            40.328554                     
HeavyNeutrino_lljj_M-2_V-0.0307896086367_e_Dirac_massiveAndCKM_LO                                                                                              4.892984e-15            40.328554                     
HeavyNeutrino_lljj_M-2_V-0.0307896086367_mu_Dirac_cc_massiveAndCKM_LO                                                                                          4.828888e-15            40.863853                     
HeavyNeutrino_lljj_M-2_V-0.0307896086367_mu_Dirac_massiveAndCKM_LO                                                                                             4.828888e-15            40.863853                     
HeavyNeutrino_lljj_M-2_V-0.05_tau_Dirac_cc_massiveAndCKM_LO                                                                                                    4.414110e-15            44.703682                     
HeavyNeutrino_lljj_M-3_V-0.0031384709653_e_massiveAndCKM_LO                                                                                                    8.562725e-16           230.448797                     
HeavyNeutrino_lljj_M-3_V-0.0031384709653_mu_massiveAndCKM_LO                                                                                                   8.516775e-16           231.692123                     
HeavyNeutrino_lljj_M-3_V-0.00443846820423_e_Dirac_cc_massiveAndCKM_LO                                                                                          8.578263e-16           230.031380                     
HeavyNeutrino_lljj_M-3_V-0.00443846820423_e_Dirac_massiveAndCKM_LO                                                                                             8.578263e-16           230.031380                     
HeavyNeutrino_lljj_M-3_V-0.00443846820423_mu_Dirac_cc_massiveAndCKM_LO                                                                                         8.515701e-16           231.721344                     
HeavyNeutrino_lljj_M-3_V-0.00443846820423_mu_Dirac_massiveAndCKM_LO                                                                                            8.515701e-16           231.721344                     
HeavyNeutrino_lljj_M-3_V-0.00992975326985_e_massiveAndCKM_LO                                                                                                   8.571433e-15            23.021468                     
HeavyNeutrino_lljj_M-3_V-0.00992975326985_mu_massiveAndCKM_LO                                                                                                  8.525370e-15            23.145854                     
HeavyNeutrino_lljj_M-3_V-0.0135_tau_Dirac_cc_massiveAndCKM_LO                                                                                                  2.825006e-15            69.850106                     
HeavyNeutrino_lljj_M-3_V-0.0140356688476_e_Dirac_cc_massiveAndCKM_LO                                                                                           8.578263e-15            23.003138                     
HeavyNeutrino_lljj_M-3_V-0.0140356688476_e_Dirac_massiveAndCKM_LO                                                                                              8.578263e-15            23.003138                     
HeavyNeutrino_lljj_M-3_V-0.0140356688476_mu_Dirac_cc_massiveAndCKM_LO                                                                                          8.515701e-15            23.172134                     
HeavyNeutrino_lljj_M-3_V-0.0140356688476_mu_Dirac_massiveAndCKM_LO                                                                                             8.515701e-15            23.172134                     
HeavyNeutrino_lljj_M-4_V-0.0013_e_massiveAndCKM_LO                                                                                                             6.886642e-16           286.535830                     
HeavyNeutrino_lljj_M-4_V-0.0013_mu_massiveAndCKM_LO                                                                                                            6.875179e-16           287.013571                     
HeavyNeutrino_lljj_M-4_V-0.00183575597507_e_Dirac_cc_massiveAndCKM_LO                                                                                          6.850892e-16           288.031059                     
HeavyNeutrino_lljj_M-4_V-0.00183575597507_e_Dirac_massiveAndCKM_LO                                                                                             6.850892e-16           288.031059                     
HeavyNeutrino_lljj_M-4_V-0.00183575597507_mu_Dirac_cc_massiveAndCKM_LO                                                                                         6.838351e-16           288.559286                     
HeavyNeutrino_lljj_M-4_V-0.00183575597507_mu_Dirac_massiveAndCKM_LO                                                                                            6.838351e-16           288.559286                     
HeavyNeutrino_lljj_M-4_V-0.00251197133742_e_massiveAndCKM_LO                                                                                                   2.571297e-15            76.742192                     
HeavyNeutrino_lljj_M-4_V-0.00251197133742_mu_massiveAndCKM_LO                                                                                                  2.566995e-15            76.870803                     
HeavyNeutrino_lljj_M-4_V-0.00354964786986_e_Dirac_cc_massiveAndCKM_LO                                                                                          2.561450e-15            77.037212                     
HeavyNeutrino_lljj_M-4_V-0.00354964786986_e_Dirac_massiveAndCKM_LO                                                                                             2.561450e-15            77.037212                     
HeavyNeutrino_lljj_M-4_V-0.00354964786986_mu_Dirac_cc_massiveAndCKM_LO                                                                                         2.556793e-15            77.177530                     
HeavyNeutrino_lljj_M-4_V-0.00354964786986_mu_Dirac_massiveAndCKM_LO                                                                                            2.556793e-15            77.177530                     
HeavyNeutrino_lljj_M-4_V-0.00721803297305_e_massiveAndCKM_LO                                                                                                   2.123060e-14             9.294460                     
HeavyNeutrino_lljj_M-4_V-0.00721803297305_mu_massiveAndCKM_LO                                                                                                  2.119511e-14             9.310023                     
HeavyNeutrino_lljj_M-4_V-0.00928_tau_Dirac_cc_massiveAndCKM_LO                                                                                                 7.715856e-15            25.574216                     
HeavyNeutrino_lljj_M-4_V-0.0101980390272_e_Dirac_cc_massiveAndCKM_LO                                                                                           2.114207e-14             9.333380                     
HeavyNeutrino_lljj_M-4_V-0.0101980390272_e_Dirac_massiveAndCKM_LO                                                                                              2.114207e-14             9.333380                     
HeavyNeutrino_lljj_M-4_V-0.0101980390272_mu_Dirac_cc_massiveAndCKM_LO                                                                                          2.110345e-14             9.350460                     
HeavyNeutrino_lljj_M-4_V-0.0101980390272_mu_Dirac_massiveAndCKM_LO                                                                                             2.110345e-14             9.350460                     
HeavyNeutrino_lljj_M-5_V-0.00065038450166_e_massiveAndCKM_LO                                                                                                   5.680339e-16           347.385901                     
HeavyNeutrino_lljj_M-5_V-0.00065038450166_mu_massiveAndCKM_LO                                                                                                  5.652289e-16           349.109835                     
HeavyNeutrino_lljj_M-5_V-0.000920326029187_e_Dirac_cc_massiveAndCKM_LO                                                                                         5.678990e-16           347.468419                     
HeavyNeutrino_lljj_M-5_V-0.000920326029187_e_Dirac_massiveAndCKM_LO                                                                                            5.678990e-16           347.468419                     
HeavyNeutrino_lljj_M-5_V-0.000920326029187_mu_Dirac_cc_massiveAndCKM_LO                                                                                        5.663145e-16           348.440607                     
HeavyNeutrino_lljj_M-5_V-0.000920326029187_mu_Dirac_massiveAndCKM_LO                                                                                           5.663145e-16           348.440607                     
HeavyNeutrino_lljj_M-5_V-0.00126095202129_e_massiveAndCKM_LO                                                                                                   2.135179e-15            92.417061                     
HeavyNeutrino_lljj_M-5_V-0.00126095202129_mu_massiveAndCKM_LO                                                                                                  2.124618e-15            92.876445                     
HeavyNeutrino_lljj_M-5_V-0.00178044938148_e_Dirac_cc_massiveAndCKM_LO                                                                                          2.125442e-15            92.840439                     
HeavyNeutrino_lljj_M-5_V-0.00178044938148_e_Dirac_massiveAndCKM_LO                                                                                             2.125442e-15            92.840439                     
HeavyNeutrino_lljj_M-5_V-0.00178044938148_mu_Dirac_cc_massiveAndCKM_LO                                                                                         2.119489e-15            93.101199                     
HeavyNeutrino_lljj_M-5_V-0.00178044938148_mu_Dirac_massiveAndCKM_LO                                                                                            2.119489e-15            93.101199                     
HeavyNeutrino_lljj_M-5_V-0.00463680924775_e_massiveAndCKM_LO                                                                                                   2.887182e-14             6.834587                     
HeavyNeutrino_lljj_M-5_V-0.00463680924775_mu_massiveAndCKM_LO                                                                                                  2.872910e-14             6.868540                     
HeavyNeutrino_lljj_M-5_V-0.0065574385243_e_Dirac_cc_massiveAndCKM_LO                                                                                           2.883089e-14             6.844290                     
HeavyNeutrino_lljj_M-5_V-0.0065574385243_e_Dirac_massiveAndCKM_LO                                                                                              2.883089e-14             6.844290                     
HeavyNeutrino_lljj_M-5_V-0.0065574385243_mu_Dirac_cc_massiveAndCKM_LO                                                                                          2.875012e-14             6.863518                     
HeavyNeutrino_lljj_M-5_V-0.0065574385243_mu_Dirac_massiveAndCKM_LO                                                                                             2.875012e-14             6.863518                     
HeavyNeutrino_lljj_M-5_V-0.00904_tau_Dirac_cc_massiveAndCKM_LO                                                                                                 3.039980e-14             6.491061                     
HeavyNeutrino_lljj_M-6_V-0.000370135110466_e_massiveAndCKM_LO                                                                                                  4.823750e-16           409.073787                     
HeavyNeutrino_lljj_M-6_V-0.000370135110466_mu_massiveAndCKM_LO                                                                                                 4.805168e-16           410.655710                     
HeavyNeutrino_lljj_M-6_V-0.000522494019105_e_Dirac_cc_massiveAndCKM_LO                                                                                         4.796611e-16           411.388307                     
HeavyNeutrino_lljj_M-6_V-0.000522494019105_e_Dirac_massiveAndCKM_LO                                                                                            4.796611e-16           411.388307                     
HeavyNeutrino_lljj_M-6_V-0.000522494019105_mu_Dirac_cc_massiveAndCKM_LO                                                                                        4.794179e-16           411.596997                     
HeavyNeutrino_lljj_M-6_V-0.000522494019105_mu_Dirac_massiveAndCKM_LO                                                                                           4.794179e-16           411.596997                     
HeavyNeutrino_lljj_M-6_V-0.000716240183179_e_massiveAndCKM_LO                                                                                                  1.806264e-15           109.245917                     
HeavyNeutrino_lljj_M-6_V-0.000716240183179_mu_massiveAndCKM_LO                                                                                                 1.799303e-15           109.668559                     
HeavyNeutrino_lljj_M-6_V-0.00101488915651_e_Dirac_cc_massiveAndCKM_LO                                                                                          1.809690e-15           109.039099                     
HeavyNeutrino_lljj_M-6_V-0.00101488915651_e_Dirac_massiveAndCKM_LO                                                                                             1.809690e-15           109.039099                     
HeavyNeutrino_lljj_M-6_V-0.00101488915651_mu_Dirac_cc_massiveAndCKM_LO                                                                                         1.808779e-15           109.094018                     
HeavyNeutrino_lljj_M-6_V-0.00101488915651_mu_Dirac_massiveAndCKM_LO                                                                                            1.808779e-15           109.094018                     
HeavyNeutrino_lljj_M-6_V-0.00211896201004_e_massiveAndCKM_LO                                                                                                   1.580932e-14            12.481686                     
HeavyNeutrino_lljj_M-6_V-0.00211896201004_mu_massiveAndCKM_LO                                                                                                  1.574836e-14            12.530001                     
HeavyNeutrino_lljj_M-6_V-0.00299666481275_e_Dirac_cc_massiveAndCKM_LO                                                                                          1.577755e-14            12.506819                     
HeavyNeutrino_lljj_M-6_V-0.00299666481275_e_Dirac_massiveAndCKM_LO                                                                                             1.577755e-14            12.506819                     
HeavyNeutrino_lljj_M-6_V-0.00299666481275_mu_Dirac_cc_massiveAndCKM_LO                                                                                         1.576978e-14            12.512982                     
HeavyNeutrino_lljj_M-6_V-0.00299666481275_mu_Dirac_massiveAndCKM_LO                                                                                            1.576978e-14            12.512982                     
HeavyNeutrino_lljj_M-8_V-0.000294108823397_e_massiveAndCKM_LO                                                                                                  1.367170e-15           144.332430                     
HeavyNeutrino_lljj_M-8_V-0.000294108823397_mu_massiveAndCKM_LO                                                                                                 1.363380e-15           144.733653                     
HeavyNeutrino_lljj_M-8_V-0.000415932686862_e_Dirac_cc_massiveAndCKM_LO                                                                                         1.364015e-15           144.666274                     
HeavyNeutrino_lljj_M-8_V-0.000415932686862_e_Dirac_massiveAndCKM_LO                                                                                            1.364015e-15           144.666274                     
HeavyNeutrino_lljj_M-8_V-0.000415932686862_mu_Dirac_cc_massiveAndCKM_LO                                                                                        1.362243e-15           144.854455                     
HeavyNeutrino_lljj_M-8_V-0.000415932686862_mu_Dirac_massiveAndCKM_LO                                                                                           1.362243e-15           144.854455                     
HeavyNeutrino_lljj_M-8_V-0.00257293606605_e_massiveAndCKM_LO                                                                                                   1.046322e-13             1.885911                     
HeavyNeutrino_lljj_M-8_V-0.00257293606605_mu_massiveAndCKM_LO                                                                                                  1.043425e-13             1.891147                     
HeavyNeutrino_lljj_M-8_V-0.00363318042492_e_Dirac_cc_massiveAndCKM_LO                                                                                          1.040753e-13             1.896002                     
HeavyNeutrino_lljj_M-8_V-0.00363318042492_e_Dirac_massiveAndCKM_LO                                                                                             1.040753e-13             1.896002                     
HeavyNeutrino_lljj_M-8_V-0.00363318042492_mu_Dirac_cc_massiveAndCKM_LO                                                                                         1.039402e-13             1.898466                     
HeavyNeutrino_lljj_M-8_V-0.00363318042492_mu_Dirac_massiveAndCKM_LO                                                                                            1.039402e-13             1.898466                     
HeavyNeutrino_trilepton_M-10_V-0.000208566536146_e_Dirac_cc_massiveAndCKM_LO                                                                                   1.084013e-15           182.033765                     
HeavyNeutrino_trilepton_M-10_V-0.000208566536146_mu_Dirac_cc_massiveAndCKM_LO                                                                                  1.083499e-15           182.120120                     
HeavyNeutrino_trilepton_M-10_V-0.000316227766017_e_Dirac_massiveAndCKM_LO                                                                                      2.491990e-15            79.184494                     
HeavyNeutrino_trilepton_M-10_V-0.000316227766017_mu_Dirac_massiveAndCKM_LO                                                                                     2.490776e-15            79.223089                     
HeavyNeutrino_trilepton_M-10_V-0.000756967634711_e_massiveAndCKM_LO                                                                                            2.862904e-14             6.892546                     
HeavyNeutrino_trilepton_M-10_V-0.000756967634711_mu_massiveAndCKM_LO                                                                                           2.858828e-14             6.902373                     
HeavyNeutrino_trilepton_M-10_V-0.00107238052948_e_Dirac_massiveAndCKM_LO                                                                                       2.865783e-14             6.885621                     
HeavyNeutrino_trilepton_M-10_V-0.00107238052948_mu_Dirac_massiveAndCKM_LO                                                                                      2.864412e-14             6.888917                     
HeavyNeutrino_trilepton_M-10_V-0.00108_tau_massiveAndCKM_LO                                                                                                    4.937938e-14             3.996141                     
HeavyNeutrino_trilepton_M-10_V-0.00112249721603_e_Dirac_cc_massiveAndCKM_LO                                                                                    3.139901e-14             6.284496                     
HeavyNeutrino_trilepton_M-10_V-0.00112249721603_mu_Dirac_cc_massiveAndCKM_LO                                                                                   3.138357e-14             6.287588                     
HeavyNeutrino_trilepton_M-10_V-0.00152_tau_Dirac_cc_massiveAndCKM_LO                                                                                           4.887669e-14             4.037241                     
HeavyNeutrino_trilepton_M-10_V-0.00152_tau_Dirac_massiveAndCKM_LO                                                                                              4.887669e-14             4.037241                     
HeavyNeutrino_trilepton_M-10_V-0.00316227766017_e_Dirac_cc_massiveAndCKM_LO                                                                                    2.491990e-13             0.791845                     
HeavyNeutrino_trilepton_M-10_V-0.00316227766017_e_Dirac_massiveAndCKM_LO                                                                                       2.491990e-13             0.791845                     
HeavyNeutrino_trilepton_M-10_V-0.00316227766017_e_massiveAndCKM_LO                                                                                             4.996346e-13             0.394943                     
HeavyNeutrino_trilepton_M-10_V-0.00316227766017_mu_Dirac_cc_massiveAndCKM_LO                                                                                   2.490776e-13             0.792231                     
HeavyNeutrino_trilepton_M-10_V-0.00316227766017_mu_Dirac_massiveAndCKM_LO                                                                                      2.490776e-13             0.792231                     
HeavyNeutrino_trilepton_M-10_V-0.00316227766017_mu_massiveAndCKM_LO                                                                                            4.989254e-13             0.395504                     
HeavyNeutrino_trilepton_M-10_V-0.01_e_Dirac_cc_massiveAndCKM_LO                                                                                                2.491990e-12             0.079184                     
HeavyNeutrino_trilepton_M-10_V-0.01_e_Dirac_massiveAndCKM_LO                                                                                                   2.491990e-12             0.079184                     
HeavyNeutrino_trilepton_M-10_V-0.01_e_massiveAndCKM_LO                                                                                                         4.996346e-12             0.039494                     
HeavyNeutrino_trilepton_M-10_V-0.01_mu_Dirac_cc_massiveAndCKM_LO                                                                                               2.490776e-12             0.079223                     
HeavyNeutrino_trilepton_M-10_V-0.01_mu_Dirac_massiveAndCKM_LO                                                                                                  2.490776e-12             0.079223                     
HeavyNeutrino_trilepton_M-10_V-0.01_mu_massiveAndCKM_LO                                                                                                        4.989254e-12             0.039550                     
HeavyNeutrino_trilepton_M-10_V-0.01_tau_Dirac_cc_massiveAndCKM_LO                                                                                              2.115470e-12             0.093278                     
HeavyNeutrino_trilepton_M-10_V-0.01_tau_Dirac_massiveAndCKM_LO                                                                                                 2.115470e-12             0.093278                     
HeavyNeutrino_trilepton_M-10_V-0.01_tau_massiveAndCKM_LO                                                                                                       4.233470e-12             0.046611                     
HeavyNeutrino_trilepton_M-11_V-0.00316227766017_e_Dirac_cc_massiveAndCKM_LO                                                                                    4.062794e-13             0.485693                     
HeavyNeutrino_trilepton_M-11_V-0.00316227766017_e_Dirac_massiveAndCKM_LO                                                                                       4.062794e-13             0.485693                     
HeavyNeutrino_trilepton_M-11_V-0.00316227766017_e_massiveAndCKM_LO                                                                                             8.149941e-13             0.242121                     
HeavyNeutrino_trilepton_M-11_V-0.00316227766017_mu_Dirac_cc_massiveAndCKM_LO                                                                                   4.060452e-13             0.485973                     
HeavyNeutrino_trilepton_M-11_V-0.00316227766017_mu_Dirac_massiveAndCKM_LO                                                                                      4.060452e-13             0.485973                     
HeavyNeutrino_trilepton_M-11_V-0.00316227766017_mu_massiveAndCKM_LO                                                                                            8.133728e-13             0.242603                     
HeavyNeutrino_trilepton_M-11_V-0.01_e_Dirac_cc_massiveAndCKM_LO                                                                                                4.062794e-12             0.048569                     
HeavyNeutrino_trilepton_M-11_V-0.01_e_Dirac_massiveAndCKM_LO                                                                                                   4.062794e-12             0.048569                     
HeavyNeutrino_trilepton_M-11_V-0.01_e_massiveAndCKM_LO                                                                                                         8.149941e-12             0.024212                     
HeavyNeutrino_trilepton_M-11_V-0.01_mu_Dirac_cc_massiveAndCKM_LO                                                                                               4.060452e-12             0.048597                     
HeavyNeutrino_trilepton_M-11_V-0.01_mu_Dirac_massiveAndCKM_LO                                                                                                  4.060452e-12             0.048597                     
HeavyNeutrino_trilepton_M-11_V-0.01_mu_massiveAndCKM_LO                                                                                                        8.133728e-12             0.024260                     
HeavyNeutrino_trilepton_M-12_V-0.00316227766017_e_Dirac_cc_massiveAndCKM_LO                                                                                    6.344270e-13             0.311032                     
HeavyNeutrino_trilepton_M-12_V-0.00316227766017_e_Dirac_massiveAndCKM_LO                                                                                       6.344270e-13             0.311032                     
HeavyNeutrino_trilepton_M-12_V-0.00316227766017_e_massiveAndCKM_LO                                                                                             1.272276e-12             0.155098                     
HeavyNeutrino_trilepton_M-12_V-0.00316227766017_mu_Dirac_cc_massiveAndCKM_LO                                                                                   6.337720e-13             0.311353                     
HeavyNeutrino_trilepton_M-12_V-0.00316227766017_mu_Dirac_massiveAndCKM_LO                                                                                      6.337720e-13             0.311353                     
HeavyNeutrino_trilepton_M-12_V-0.00316227766017_mu_massiveAndCKM_LO                                                                                            1.269566e-12             0.155429                     
HeavyNeutrino_trilepton_M-12_V-0.01_e_Dirac_cc_massiveAndCKM_LO                                                                                                6.344270e-12             0.031103                     
HeavyNeutrino_trilepton_M-12_V-0.01_e_Dirac_massiveAndCKM_LO                                                                                                   6.344270e-12             0.031103                     
HeavyNeutrino_trilepton_M-12_V-0.01_e_massiveAndCKM_LO                                                                                                         1.272276e-11             0.015510                     
HeavyNeutrino_trilepton_M-12_V-0.01_mu_Dirac_cc_massiveAndCKM_LO                                                                                               6.337720e-12             0.031135                     
HeavyNeutrino_trilepton_M-12_V-0.01_mu_Dirac_massiveAndCKM_LO                                                                                                  6.337720e-12             0.031135                     
HeavyNeutrino_trilepton_M-12_V-0.01_mu_massiveAndCKM_LO                                                                                                        1.269566e-11             0.015543                     
HeavyNeutrino_trilepton_M-15_V-3.02158898595e-05_e_Dirac_cc_massiveAndCKM_LO                                                                                   1.820043e-16          1084.188494                     
HeavyNeutrino_trilepton_M-15_V-3.02158898595e-05_mu_Dirac_cc_massiveAndCKM_LO                                                                                  1.816568e-16          1086.262490                     
HeavyNeutrino_trilepton_M-15_V-6.76017751246e-05_e_Dirac_cc_massiveAndCKM_LO                                                                                   9.110210e-16           216.599802                     
HeavyNeutrino_trilepton_M-15_V-6.76017751246e-05_mu_Dirac_cc_massiveAndCKM_LO                                                                                  9.092870e-16           217.012855                     
HeavyNeutrino_trilepton_M-1_V-0.022360679775_e_Dirac_cc_massiveAndCKM_LO                                                                                       7.735529e-17          2550.917563                     
